Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,4.59,7.71,0.48,2.35
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.97,6.07,0.37,2.4
FIFA 17,PS4,2016,Sports,Electronic Arts,1.15,7.88,0.11,1.58
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,3.88,3.39,0.2,1.47
FIFA 16,PS4,2015,Sports,Electronic Arts,1.14,6.14,0.07,1.28
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,3.23,3.65,0.23,1.36
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.84,3.48,0.14,1.24
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.64,3.49,0.25,1.2
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,2.69,3.09,0.18,1.14
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.95,3.56,0.27,1.05
FIFA 15,PS4,2014,Sports,Electronic Arts,0.81,4.33,0.05,0.91
Destiny,PS4,2014,Shooter,Activision,2.51,2.07,0.16,0.93
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,2.22,2.26,0.08,0.89
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.23,1.89,0.09,0.83
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.72,2.31,0.19,0.78
Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,1.39,1.61,0.96,0.59
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.12,2.3,0.25,0.64
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.44,2.03,0.16,0.67
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.65,1.76,0.11,0.68
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.94,0.11,0.65
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.16,2.18,0.11,0.63
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.2,2.12,0.09,0.63
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.52,0.66,0.04,0.7
